-0.00029 -0.00076 -0.00479
0.00249 0.00249 -0.00576
0.00283 0.00125 0.00464
0.00596 0.00339 -0.00256
-0.00161 -0.00015 0.00134
0.00254 0.00217 0.00212
0.00703 0.00019 0.00103
0.00371 -0.00300 -0.00557
0.00122 -0.00146 0.00007
-0.00684 0.00154 0.00010
-0.00017 0.00120 0.00176
-0.00513 0.00493 0.00415
0.00151 -0.00178 -0.00264
0.00039 -0.00557 0.00051
-0.00205 0.00064 0.00190
-0.00090 0.00161 -0.00930
-0.00037 -0.00032 0.00461
0.00300 0.00227 -0.00251
0.00449 -0.00144 0.01023
-0.00095 0.00496 0.00115
0.00139 0.00210 0.00547
-0.00913 -0.00095 0.00064
-0.00227 0.00381 -0.00686
0.00359 0.00054 0.00061
0.00291 -0.00010 0.00637
0.00410 -0.00322 -0.00117
-0.00544 -0.00247 -0.00447
-0.00400 -0.00322 -0.00388
-0.00532 -0.00027 0.00088
0.00081 -0.00310 -0.00332
0.00679 -0.00166 0.00354
-0.00171 -0.00200 -0.00154
-0.00286 -0.00066 0.00039
0.00684 0.00037 -0.00027
0.00298 0.00303 -0.00374
-0.00317 0.00376 0.00361
-0.00149 0.00181 -0.00710
-0.00037 0.00012 0.00029
-0.00073 -0.00527 0.00249
0.00081 -0.00295 0.00071
0.00105 0.00298 -0.00313
0.00625 -0.00232 -0.00088
-0.00400 -0.00525 -0.00518
-0.00674 -0.00227 0.00525
0.00220 0.00093 -0.00476
-0.00034 -0.00044 -0.00156
-0.00444 0.00085 0.00378
0.00720 -0.00161 0.00090
-0.00215 0.00154 -0.00542
0.00259 0.00608 0.00093
-0.00220 0.00171 -0.00456
0.00315 0.00693 0.00459
-0.00269 0.00242 0.00107
-0.00330 -0.00059 0.00596
-0.00278 -0.00017 0.00186
-0.00051 -0.00220 0.00164
-0.00022 -0.00085 0.00598
0.00146 -0.00237 -0.00032
-0.00032 -0.00361 -0.00034
-0.00386 -0.00439 -0.00049
-0.00132 0.00200 -0.00298
0.00146 0.00132 0.00227
0.00034 -0.00203 -0.00232
-0.00225 0.00200 -0.00925
-0.00391 -0.00225 -0.00405
0.00496 0.00828 0.00313
-0.00417 -0.00374 0.00850
0.00073 0.00295 -0.00820
-0.00400 -0.00044 0.00242
