AccX,Accy,AccZ,GyroX,GyroY,GyroZ,MAGyroX,MAGyroY,MAGyroZ,Gyro_minus_MAGyroX,Gyro_minus_MAGyroY,Gyro_minus_MAGyroZ,AADX,AADY,AADZ,AADM,Categorie
-0.01000,-0.21000,0.96000,-7.08000,-0.29000,-0.85000,-7.04000,-0.27000,-0.84000,-0.05000,-0.02000,-0.02000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.97000,-6.91000,-0.15000,-0.91000,-7.02000,-0.27000,-0.85000,0.11000,0.12000,-0.06000,0.00000,0.00000,0.00000,0.00000,0
0.00000,-0.21000,0.96000,-7.13000,-0.22000,-0.98000,-7.04000,-0.25000,-0.86000,-0.09000,0.03000,-0.13000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.96000,-6.87000,-0.18000,-0.66000,-7.03000,-0.25000,-0.83000,0.16000,0.07000,0.17000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.97000,-6.98000,-0.08000,-0.85000,-7.03000,-0.22000,-0.84000,0.05000,0.14000,-0.02000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.20000,0.96000,-7.15000,-0.40000,-0.93000,-7.01000,-0.24000,-0.86000,-0.13000,-0.16000,-0.08000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.96000,-6.99000,0.01000,-0.97000,-6.99000,-0.22000,-0.88000,0.00000,0.23000,-0.09000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.97000,-6.85000,-0.25000,-0.73000,-6.96000,-0.22000,-0.86000,0.12000,-0.03000,0.13000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.96000,-7.02000,-0.14000,-0.74000,-6.99000,-0.21000,-0.85000,-0.03000,0.07000,0.11000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.98000,-7.17000,-0.24000,-1.00000,-7.01000,-0.20000,-0.86000,-0.15000,-0.05000,-0.14000,0.00000,0.00000,0.00000,0.00000,0
